id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46073084,Home in Austin · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,63253402,Reid,,78744,30.16315,-97.74408,Private room,35,2,58,2023-11-30,1.56,4,14,12,
46081406,Home in Austin · 5 bedrooms · 8 beds · 4.5 baths,210733801,Above Vacation,,78730,30.35891,-97.841488,Entire home/apt,1246,1,0,,,44,186,0,
46081451,Home in Austin · 6 bedrooms · 8 beds · 4.5 baths,210733801,Above Vacation,,78738,30.315041,-97.924877,Entire home/apt,1556,1,1,2022-06-05,0.05,44,348,0,
46086789,Cabin in Austin · ★4.98 · 1 bedroom · 2 beds · 1 bath,274009641,Tad,,78736,30.2375,-97.9776,Entire home/apt,175,2,147,2023-11-19,3.86,4,0,35,
46101661,Condo in Austin · ★4.96 · Studio · 2 beds · 1 bath,5552626,Stu,,78705,30.29199,-97.74721,Entire home/apt,116,2,48,2023-11-12,1.27,1,139,11,
46103871,Guesthouse in Austin · ★4.84 · 1 bedroom · 1 bed · 1 bath,5565446,Cristina,,78702,30.25497,-97.72396,Entire home/apt,107,2,148,2023-11-25,3.91,2,141,52,
45331234,Home in Austin · ★4.73 · 2 bedrooms · 2 beds · 1 bath,7270902,Meshelle,,78751,30.31889,-97.72923,Entire home/apt,119,3,179,2023-12-11,4.51,23,104,32,
46124461,Rental unit in Austin · ★4.90 · 1 bedroom · 1 bed · 1 bath,373797829,Sky,,78704,30.2592,-97.74784,Entire home/apt,123,2,175,2023-11-26,4.66,1,35,59,
45349898,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,1544392,Lauren,,78745,30.21232,-97.81118,Entire home/apt,173,2,32,2023-08-06,0.81,1,0,25,
46126216,Rental unit in Austin · ★4.71 · 1 bedroom · 1 bed · 1 bath,50977,Rob,,78722,30.28365,-97.72027,Entire home/apt,,4,7,2022-06-13,0.23,1,0,0,
46141020,Townhouse in Austin · 1 bedroom · 1 bed · 2 baths,348189890,Nexx,,78744,30.20921,-97.74111,Private room,500,10,0,,,2,0,0,
45532574,Condo in Austin · 2 bedrooms · 2 beds · 1 bath,368587089,Sarah,,78722,30.28369,-97.71579,Entire home/apt,,30,1,2021-05-22,0.03,1,0,0,
45350531,Condo in Austin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,340960355,Sairam,,78705,30.29412,-97.74104,Private room,,2,3,2020-10-09,0.08,1,0,0,
45533428,Guesthouse in Austin · ★5.0 · 1 bedroom · 2 beds · 1 bath,368646360,Betty,,78704,30.260791778564453,-97.76327514648438,Entire home/apt,178,3,150,2023-12-04,3.92,1,171,38,
45544702,Home in Austin · 3 bedrooms · 3 beds · 2 baths,12399486,Julie,,78704,30.23292,-97.77885,Entire home/apt,150,60,0,,,24,363,0,
45371687,Home in Austin · ★4.79 · 2 bedrooms · 4 beds · 2 baths,259870806,Mahshid,,78704,30.23683,-97.77811,Entire home/apt,142,1,111,2023-12-09,2.83,7,140,30,
45564394,Condo in Austin · ★4.73 · 1 bedroom · 1 bed · 1 bath,11786964,Valentina,,78704,30.24663,-97.75429,Entire home/apt,110,90,30,2023-10-23,0.77,1,280,8,
45569448,Home in Austin · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,275372778,Jay,,78702,30.25092,-97.72663,Private room,71,1,108,2023-12-10,4.37,2,84,45,
45592772,Condo in Austin · ★4.71 · 1 bedroom · 1 bed · 1 bath,579290,Jay,,78704,30.254968643188477,-97.75251007080078,Entire home/apt,86,28,14,2023-11-15,0.36,12,313,3,
46155051,Home in Austin · ★5.0 · 3 bedrooms · 4 beds · 3 baths,99261688,Patricia,,78704,30.24968,-97.75643,Entire home/apt,466,2,24,2023-11-05,0.67,1,252,16,
46177279,Loft in Austin · Studio · 2 beds · 1 bath,81772335,Chris,,78741,30.23148,-97.73171,Entire home/apt,74,14,0,,,1,0,0,
45386773,Home in Austin · ★4.84 · 3 bedrooms · 3 beds · 2 baths,337851194,Paula,,78704,30.23347,-97.75916,Entire home/apt,243,2,115,2023-12-10,3.02,4,0,32,
46181205,Rental unit in Austin · ★5.0 · Studio · 1 bed · 1 bath,1862623,Kortni,,78744,30.15178,-97.71871,Entire home/apt,85,2,81,2023-11-21,2.14,1,243,16,
45401573,Home in Austin · ★5.0 · 4 bedrooms · 3 beds · 3 baths,367113553,Lyndsey,,78731,30.36338,-97.7653,Entire home/apt,,4,10,2021-07-05,0.25,1,0,0,
45595809,Rental unit in Austin · ★4.74 · 1 bedroom · 1 bed · 1 bath,5667549,Mikhail,,78705,30.28919,-97.75215,Entire home/apt,79,2,23,2023-11-24,0.59,1,63,10,
45410462,Home in Austin · ★4.50 · 4 bedrooms · 4 beds · 2 baths,7270902,Meshelle,,78751,30.31785,-97.72751,Entire home/apt,494,1,6,2023-06-18,0.18,23,104,1,
45596124,Rental unit in Austin · 1 bedroom · 2 beds · 1 bath,45962911,Abigail,,78726,30.39984,-97.84983,Entire home/apt,,7,2,2021-03-21,0.06,1,0,0,
